wdid,logg,mass
2MASS J10161266+3242394,7.52,0.37
2MASS J10192284+2854008,8.14,0.72
2MASS J10201454+3553213,7.665,0.435
2MASS J10203207+0246221,7.09,0.28
2MASS J10210225+1744399,8.7,1.06
2MASS J10220594+0802463,7.79,0.52
2MASS J10221347+2941200,9.15,1.275
2MASS J10251535+1749379,7.82,0.53
2MASS J10262322+1629382,7.27,0.33
2MASS J10275006+2712441,8.04,0.65
2MASS J10285778+0931300,8.34,0.83
2MASS J10320984+3722476,7.71,0.46
2MASS J10395262+2854220,7.68,0.49
2MASS J10401302+2525599,8.11,0.67
2MASS J10410382+2019449,7.73,0.48
2MASS J10414255+3919002,7.88,0.56
2MASS J10431867+3050132,7.78,0.49
2MASS J10445935+3605548,9.09,1.24
2MASS J10494804+3933247,7.59,0.47
2MASS J10531331+3848351,7.57,0.39
2MASS J10540525+2839167,8.235,0.755
2MASS J10542197+5122541,8.15,0.725
2MASS J10543618+1008379,7.97,0.59
2MASS J10565735+3304161,8.04,0.65
2MASS J10584528+1647147,7.58,0.43
2MASS J10585319+3900183,7.57,0.38
2MASS J11051758+3851260,8.17,0.71
2MASS J11060419+0120103,8.08,0.76
2MASS J11065290+2842454,8.41,0.86
2MASS J11073810+3800518,7.69,0.43
2MASS J11083465-1548470,7.83,0.51
2MASS J11095703+3302459,7.86,0.55
2MASS J11125121+1907004,7.57,0.39
2MASS J11140089+4518232,7.77,0.49
2MASS J11141929+0838288,7.9,0.56
2MASS J11145995+0924110,8.29,0.79
2MASS J11150148-1203220,8.33,0.81
2MASS J11171056-1255409,8.29,0.79
2MASS J11171487+0954152,7.84,0.525
2MASS J11191419+3801597,7.85,0.54
2MASS J11193338+3744112,7.57,0.39
2MASS J11201274+1901269,8.24,0.76
2MASS J11214996+2859047,8.21,0.73
2MASS J11230840-1155593,9.12,1.26
2MASS J11262386+0108568,7.84,0.52
2MASS J11263674+1458298,7.77,0.49
2MASS J11272201+4249339,8.17,0.71
2MASS J11281393+1252341,7.87,0.54
2MASS J11355751+0103106,8.46,0.89
2MASS J11471607+2939301,8.08,0.66
2MASS J11472000+1128132,8.48,0.91
2MASS J11584888+1715528,7.87,0.56
2MASS J12111941+4155553,7.86,0.58
2MASS J12113095-0249545,7.84,0.52
2MASS J12131815+5102475,7.83,0.52
2MASS J12135686+3635310,7.43,0.41
2MASS J12144003+1537208,7.47,0.47
2MASS J12200769+6316283,7.86,0.54
2MASS J12203708+4923343,7.46,0.42
2MASS J12214905+2856278,7.53,0.38
2MASS J12220847+0934061,7.14,0.34
2MASS J12231542+3137556,7.76,0.47
2MASS J12232547+2811438,7.99,0.62
2MASS J12255302+0103563,8.34,0.82
2MASS J12263499+3220207,9.32,1.36
2MASS J12293066+2630503,8.69,1.04
2MASS J12313980-0310002,7.35,0.35
2MASS J12321435+3513241,7.6,0.47
2MASS J12322379+3808591,8.17,0.74
2MASS J12323566+5920272,7.14,0.28
2MASS J12332529+2832414,7.87,0.54
2MASS J12340916+1936308,7.87,0.54
2MASS J12352866+0030421,7.68,0.46
2MASS J12353983+2541424,8.18,0.72
2MASS J12383440+3627421,7.73,0.46
2MASS J12414136+1405388,7.9,0.6
2MASS J12421619+6408597,7.77,0.5
2MASS J12434295+1449556,8.005,0.63
2MASS J12435677-0647584,7.91,0.56
2MASS J12461183+3250595,8.03,0.63
2MASS J12470277+3134484,8.22,0.77
2MASS J12483175+4353183,8.08,0.66
2MASS J12491923+2804587,8.23,0.75
2MASS J12493509+3751326,8.46,0.89
2MASS J12510844+3440504,8.3,0.8
2MASS J12520718+0121570,7.78,0.53
2MASS J12551435+1155597,8.03,0.61
2MASS J12575784+5458408,7.47,0.44
2MASS J12582086+3809266,7.81,0.54
2MASS J12594461+1544558,8.01,0.61
2MASS J13002241+3733187,7.99,0.59
2MASS J13003200+1530189,7.6,0.43
2MASS J13040362+1449557,7.83,0.53
2MASS J13043916+2922289,7.3,0.36
2MASS J13095635+2928048,7.8,0.515
2MASS J13120812+0020579,7.81,0.52
2MASS J13124792-0034274,8.34,0.82
2MASS J13133474+0237507,8.145,0.705
2MASS J13135097+0634323,7.7,0.5
2MASS J13164607+2735536,8.04,0.69
2MASS J13200125+1128054,7.14,0.28
2MASS J13204027+6612150,8.207,0.76
2MASS J13242710+0804257,7.63,0.47
2MASS J13293369+2557435,8.43,0.88
